titulo,localizacion,precio,caracteristicas_basicas,caracteristicas_extras,metros_cuadrados,habitaciones,baños,parcela_m2,plaza_garaje,estado,orientacion,año_construccion,calefaccion,planta,ascensor
Piso en venta en calle del Duque de Sesto,Goya,1290000,"['133 m² construidos', '2 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1941', 'Calefacción central: Gas', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']",133,2,3.0,,,Segunda mano/buen estado,sur,1941.0,Gas,Planta 1ª exterior,True
Piso en venta en calle del Duque de Sesto,Goya,1290000,"['133 m² construidos', '2 habitaciones', '3 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1941', 'Calefacción central: Gas', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']",133,2,3.0,,,Segunda mano/buen estado,sur,1941.0,Gas,Planta 1ª exterior,True
Ático en venta en Adelfas,Retiro,880000,"['175 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Calefacción individual: Gas natural', 'Planta 6ª exterior', 'Con ascensor']","['Aire acondicionado', 'Piscina', 'Zonas verdes', 'En trámite']",175,4,3.0,,True,Segunda mano/buen estado,,,Gas natural,Planta 6ª exterior,True
 Casa o chalet independiente en venta en calle de Darío Aparicio,Valdemarín,3500000,"['Casa o chalet independiente', '749 m² construidos', '7 habitaciones', '10 baños', 'Parcela de 2.987 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 2003']","['Aire acondicionado', 'Piscina', 'Jardín', 'En trámite']",749,7,10.0,2987.0,True,Segunda mano/buen estado,,2003.0,,,
 Chalet pareado en venta en calle Virgen de los Rosales,Aravaca,2280000,"['Chalet pareado', '505 m² construidos', '7 habitaciones', '5 baños', 'Parcela de 1.127 m²', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 1997']","['Aire acondicionado', 'Piscina', 'Jardín', 'En trámite']",505,7,5.0,1127.0,True,Segunda mano/buen estado,,1997.0,,,
Piso en venta en calle de Lagasca,Castellana,1195000,"['133 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/para reformar', 'Orientación sur', 'Construido en 1967', 'Planta 2ª interior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']",133,3,2.0,,,Segunda mano/para reformar,sur,1967.0,,Planta 2ª interior,True
 Chalet pareado en venta en calle Virgen de los Rosales,Aravaca,2280000,"['Chalet pareado', '4 plantas', '505 m² construidos', '7 habitaciones', '6 baños', 'Parcela de 1.127 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1979', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']",505,7,6.0,1127.0,True,Segunda mano/para reformar,sur,1979.0,Gas natural,,
Piso en venta en calle de Núñez de Balboa,Castellana,2900000,"['239 m² construidos', '4 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Trastero', 'Orientación este, oeste', 'Planta 5ª exterior', 'Con ascensor']","['Aire acondicionado', 'Consumo:', 'Emisiones:']",239,4,3.0,,True,Segunda mano/para reformar,oeste,,,Planta 5ª exterior,True
Piso en venta en calle del Duque de Sesto,Goya,1290000,"['133 m² construidos', '2 habitaciones', '3 baños', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1941', 'Calefacción central: Gas', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']","['Aire acondicionado', 'En trámite']",133,2,3.0,,True,Segunda mano/buen estado,sur,1941.0,Gas,Planta 1ª exterior,True
 Chalet adosado en venta en avenida del Papa Negro,Conde Orgaz-Piovera,1890000,"['Chalet adosado', '385 m² construidos', '5 habitaciones', '4 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación oeste', 'Construido en 1994', 'Calefacción individual: Gas natural', 'Acceso y vivienda adaptados para personas con movilidad reducida']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']",385,5,4.0,,True,Segunda mano/buen estado,oeste,1994.0,Gas natural,,
 Chalet pareado en venta en ronda de Sobradiel,Conde Orgaz-Piovera,2190000,"['Chalet pareado', '4 plantas', '380 m² construidos', '7 habitaciones', '5 baños', 'Parcela de 196 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 1994', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']",380,7,5.0,196.0,True,Segunda mano/buen estado,sur,1994.0,Gas natural,,
 Chalet pareado en venta en avenida de las Azaleas,Palomas,2050000,"['Chalet pareado', '4 plantas', '334 m² construidos', '5 habitaciones', '5 baños', 'Parcela de 400 m²', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, oeste', 'Construido en 2007', 'Calefacción individual: Gas natural']","['Aire acondicionado', 'Piscina', 'Jardín', 'Consumo:', 'Emisiones:']",334,5,5.0,400.0,True,Segunda mano/buen estado,oeste,2007.0,Gas natural,,
